Date,Attribute,Value
12/1/1981,Australian Capital Territory,6.1042537
1/1/1982,Australia,6.5279931
1/1/1982,New South Wales,6.1154704
1/1/1982,Victoria,5.8726186
1/1/1982,Queensland,6.6306517
1/1/1982,South Australia,8.1081311
1/1/1982,Western Australia,7.7702164
1/1/1982,Tasmania,9.0171281
1/1/1982,Northern Territory,4.7660768
1/1/1982,Australian Capital Territory,6.1583746
2/1/1982,Australia,7.0629818
2/1/1982,New South Wales,6.7544216
2/1/1982,Victoria,6.6618361
2/1/1982,Queensland,7.0204217
2/1/1982,South Australia,8.2693783
2/1/1982,Western Australia,7.5500113
2/1/1982,Tasmania,9.5260717
2/1/1982,Northern Territory,7.5328042
2/1/1982,Australian Capital Territory,6.9743416
3/1/1982,Australia,6.663652
3/1/1982,New South Wales,6.3005114
3/1/1982,Victoria,6.4453877
3/1/1982,Queensland,6.1852798
3/1/1982,South Australia,7.6392707
3/1/1982,Western Australia,7.3465921
3/1/1982,Tasmania,9.2260522
3/1/1982,Northern Territory,7.570234
3/1/1982,Australian Capital Territory,8.7077499
4/1/1982,Australia,6.4036254
4/1/1982,New South Wales,6.1045681
4/1/1982,Victoria,6.0799147
4/1/1982,Queensland,6.098115
4/1/1982,South Australia,7.3997738
4/1/1982,Western Australia,7.0015123
4/1/1982,Tasmania,9.1447746
4/1/1982,Northern Territory,6.9052699
4/1/1982,Australian Capital Territory,7.4187768
5/1/1982,Australia,6.5813567
5/1/1982,New South Wales,6.2476367
5/1/1982,Victoria,6.4164419
5/1/1982,Queensland,6.2431952
5/1/1982,South Australia,7.7753476
5/1/1982,Western Australia,6.6747593
5/1/1982,Tasmania,9.2761756
5/1/1982,Northern Territory,7.9090719
5/1/1982,Australian Capital Territory,7.4656104
6/1/1982,Australia,6.5778391
6/1/1982,New South Wales,6.4193799
6/1/1982,Victoria,6.2767325
6/1/1982,Queensland,6.1231468
6/1/1982,South Australia,7.6744264
6/1/1982,Western Australia,7.3623241
6/1/1982,Tasmania,9.0010078
6/1/1982,Northern Territory,4.0030326
6/1/1982,Australian Capital Territory,6.354528
7/1/1982,Australia,6.5905958
7/1/1982,New South Wales,6.5515185
7/1/1982,Victoria,6.3085192
7/1/1982,Queensland,5.8081401
7/1/1982,South Australia,7.6636645
7/1/1982,Western Australia,7.4781932
7/1/1982,Tasmania,8.7377308
7/1/1982,Northern Territory,4.2904507
7/1/1982,Australian Capital Territory,6.5264987
8/1/1982,Australia,6.7442882
8/1/1982,New South Wales,6.510462
8/1/1982,Victoria,6.024553
8/1/1982,Queensland,6.5075592
8/1/1982,South Australia,8.4251229
8/1/1982,Western Australia,7.8376967
8/1/1982,Tasmania,9.3635564
8/1/1982,Northern Territory,6.1504824
8/1/1982,Australian Capital Territory,6.6232696
9/1/1982,Australia,7.3221019
9/1/1982,New South Wales,7.3433856
9/1/1982,Victoria,6.8775661
9/1/1982,Queensland,6.9636096
9/1/1982,South Australia,8.558946
9/1/1982,Western Australia,7.4266727
9/1/1982,Tasmania,9.8915705
9/1/1982,Northern Territory,6.8425813
9/1/1982,Australian Capital Territory,6.321941
10/1/1982,Australia,7.7657049
10/1/1982,New South Wales,8.2040175
10/1/1982,Victoria,7.0981336
10/1/1982,Queensland,6.8561149
10/1/1982,South Australia,8.4598215
10/1/1982,Western Australia,8.1087764
10/1/1982,Tasmania,11.4933868
10/1/1982,Northern Territory,6.6318762
10/1/1982,Australian Capital Territory,6.9417572
11/1/1982,Australia,8.020573
11/1/1982,New South Wales,8.7078019
11/1/1982,Victoria,7.0823568
11/1/1982,Queensland,7.42857
11/1/1982,South Australia,8.8158642
11/1/1982,Western Australia,7.9676359
11/1/1982,Tasmania,9.8840009
11/1/1982,Northern Territory,7.2784454
11/1/1982,Australian Capital Territory,7.3764445
12/1/1982,Australia,9.6128708
12/1/1982,New South Wales,10.2573844
12/1/1982,Victoria,8.5491559
12/1/1982,Queensland,9.9062531
12/1/1982,South Australia,10.202342
12/1/1982,Western Australia,9.1131436
12/1/1982,Tasmania,11.5020255
12/1/1982,Northern Territory,7.3897112
12/1/1982,Australian Capital Territory,7.9260277
1/1/1983,Australia,10.1153912
1/1/1983,New South Wales,10.5211132
1/1/1983,Victoria,8.6491712
1/1/1983,Queensland,11.0556932
1/1/1983,South Australia,11.0786486
1/1/1983,Western Australia,10.0504771
1/1/1983,Tasmania,12.0906739
1/1/1983,Northern Territory,7.4408037
1/1/1983,Australian Capital Territory,9.3957115
2/1/1983,Australia,10.694156
2/1/1983,New South Wales,11.3643612
2/1/1983,Victoria,9.3427821
2/1/1983,Queensland,11.5513418
2/1/1983,South Australia,11.1002526
2/1/1983,Western Australia,10.4894192
2/1/1983,Tasmania,11.5361413
2/1/1983,Northern Territory,8.3156197
2/1/1983,Australian Capital Territory,8.7731485
3/1/1983,Australia,10.4188046
3/1/1983,New South Wales,11.4179574
3/1/1983,Victoria,9.1555232
3/1/1983,Queensland,10.6334606
3/1/1983,South Australia,11.0223817
3/1/1983,Western Australia,9.7642693
3/1/1983,Tasmania,10.6594433
3/1/1983,Northern Territory,6.6500841
3/1/1983,Australian Capital Territory,9.259328
4/1/1983,Australia,10.1849107
4/1/1983,New South Wales,10.6560198
4/1/1983,Victoria,9.3892062
4/1/1983,Queensland,10.7468334
4/1/1983,South Australia,10.7120691
4/1/1983,Western Australia,9.7350046
4/1/1983,Tasmania,10.5425398
4/1/1983,Northern Territory,5.9086981
4/1/1983,Australian Capital Territory,8.929467
5/1/1983,Australia,10.3032446
5/1/1983,New South Wales,10.8860997
5/1/1983,Victoria,9.6674807
5/1/1983,Queensland,10.4867372
5/1/1983,South Australia,11.0856255
5/1/1983,Western Australia,9.355644
5/1/1983,Tasmania,11.0585707
5/1/1983,Northern Territory,7.4674721
5/1/1983,Australian Capital Territory,7.7145337
6/1/1983,Australia,9.9605223
6/1/1983,New South Wales,10.6568204
6/1/1983,Victoria,9.1493491
6/1/1983,Queensland,9.9076678
6/1/1983,South Australia,11.1995102
6/1/1983,Western Australia,9.466789
6/1/1983,Tasmania,10.2415928
6/1/1983,Northern Territory,5.7163963
6/1/1983,Australian Capital Territory,6.8034399
7/1/1983,Australia,9.84275
7/1/1983,New South Wales,10.4302145
7/1/1983,Victoria,8.8222698
7/1/1983,Queensland,10.2182003
7/1/1983,South Australia,10.7423084
7/1/1983,Western Australia,9.8510677
7/1/1983,Tasmania,9.8443025
7/1/1983,Northern Territory,8.5007948
7/1/1983,Australian Capital Territory,6.356429
8/1/1983,Australia,9.9138025
8/1/1983,New South Wales,10.7271706
8/1/1983,Victoria,8.8798488
8/1/1983,Queensland,10.1051201
8/1/1983,South Australia,10.6207138
8/1/1983,Western Australia,9.4937632
8/1/1983,Tasmania,10.2595222
8/1/1983,Northern Territory,9.1718257
8/1/1983,Australian Capital Territory,6.1565473
9/1/1983,Australia,10.182863
9/1/1983,New South Wales,10.9838136
9/1/1983,Victoria,9.6190224
9/1/1983,Queensland,9.6907109
9/1/1983,South Australia,10.6520298
9/1/1983,Western Australia,10.0455294
9/1/1983,Tasmania,10.1474989
